"number","ADM2_PCODE","Population","ADM2_EN","ADM2_KK","ADM2_RUISO_3166_2","n","Area"
"1"," KZ101000","331040"," Semey"," Семей"," Семей"," KZ-ABY1","210"
"2"," KZ101010","20868"," Zharasemey"," Жаңасемей"," Жанасемейский"," KZ-ABY1","27100"
"3"," KZ101800","10253"," Kurchatov"," Курчатов"," Курчатов"," KZ-ABY1","110"
"4"," KZ103200","13793"," Abay"," Абай"," Абайский"," KZ-ABY1","20093"
"5"," KZ103400","19195"," Aqsuat"," Ақсуат"," Аксуатский"," KZ-ABY1","13600"
"6"," KZ103600","65270"," Ayagoz"," Аягөз"," Аягозский"," KZ-ABY1","49500"
"7"," KZ103800","17516"," Beskaragay"," Бесқарағай"," Бескарагайский"," KZ-ABY1","11400"
"8"," KZ104000","32540"," Borodulikha"," Бородулиха"," Бородулихинский"," KZ-ABY1","6989"
"9"," KZ104200","35356"," Zharma"," Жарма"," Жарминский"," KZ-ABY1","22600"
"10"," KZ104400","13345"," Kokpekti"," Көкпекті"," Кокпектинский"," KZ-ABY1","9100"
"11"," KZ104500","27467"," Maqanshy"," Мақаншы"," Маканчинский"," KZ-ABY1","9200"
"12"," KZ104600","68219"," Urzhar"," Үржар"," Урджарский"," KZ-ABY1","14300"
"13"," KZ111000","194000"," Kokshetau"," Көкшетау"," Кокшетау"," KZ-AKM1","400"
"14"," KZ111600","56818"," Kosshy"," Қосшы"," Косшы"," KZ-AKM1","24"
"15"," KZ111800","67578"," Stepnogorsk"," Степногор"," Степногорск"," KZ-AKM1","2900"
"16"," KZ113200","23526"," Akkol"," Ақкөл"," Аккольский"," KZ-AKM1","8300"
"17"," KZ113400","25317"," Arshaly"," Аршалы"," Aршалинский"," KZ-AKM1","5800"
"18"," KZ113600","19295"," Astrakhan"," Астрахан"," Астраханский"," KZ-AKM1","7400"
"19"," KZ113800","42524"," Atbasar"," Атбасар"," Атбасарский"," KZ-AKM1","10600"
"20"," KZ114000","28974"," Bulandy"," Бұланды"," Буландынский"," KZ-AKM1","5100"
"21"," KZ114400","5130"," Egindykol"," Егіндікөл"," Егиндыкольский"," KZ-AKM1","5400"
"22"," KZ114500","12898"," Birzhansal"," Біржансал"," Биржансал"," KZ-AKM1","11000"
"23"," KZ114600","25342"," Ereymentau"," Ерейментау"," Ерейментауский"," KZ-AKM1","17700"
"24"," KZ114800","20244"," Esil"," Есіл"," Есильский"," KZ-AKM1","8000"
"25"," KZ115200","15655"," Zhaksy"," Жақсы"," Жаксынский"," KZ-AKM1","9700"
"26"," KZ115400","12273"," Zharkain"," Жарқайың"," Жаркаинский"," KZ-AKM1","12100"
"27"," KZ115600","34504"," Zerendi"," Зеренді"," Зерендинский"," KZ-AKM1","7800"
"28"," KZ116000","6971"," Korgalzhyn"," Қорғалжын"," Коргалжынский"," KZ-AKM1","9300"
"29"," KZ116400","16704"," Sandyktau"," Сандықтау"," Сандыктауский"," KZ-AKM1","6400"
"30"," KZ116600","82958"," Tselinograd"," Целиноград"," Целиноградский"," KZ-AKM1","7900"
"31"," KZ116800","26988"," Shortandy"," Шортанды"," Шортандинский"," KZ-AKM1","4700"
"32"," KZ117000","70819"," Burabay"," Бурабай"," Бурабайский"," KZ-AKM1","5900"
"33"," KZ151000","573132"," Aktobe"," Ақтөбе"," Актобе"," KZ-AKT1","230"
"34"," KZ153200","43736"," Alga"," Алға"," Алгинский"," KZ-AKT1","7300"
"35"," KZ153400","20602"," Aytekebi"," Әйтекеби"," Айтекебийский"," KZ-AKT1","35900"
"36"," KZ153600","22920"," Bayganin"," Байғанин"," Байганинский"," KZ-AKT1","61000"
"37"," KZ154000","15416"," Kargaly"," Қарғалы"," Каргалинский"," KZ-AKT1","5000"
"38"," KZ154200","15904"," Khobda"," Қобда"," Хобдинский"," KZ-AKT1","14000"
"39"," KZ154600","29674"," Martuk"," Мәртөк"," Мартукский"," KZ-AKT1","6600"
"40"," KZ154800","65714"," Mugalzhar"," Мұғалжар"," Мугалжарский"," KZ-AKT1","27900"
"41"," KZ155200","16013"," Oiyl"," Ойыл"," Уилский"," KZ-AKT1","11500"
"42"," KZ155600","35674"," Temir"," Темір"," Темирский"," KZ-AKT1","12600"
"43"," KZ156000","46680"," Khromtau"," Хромтау"," Хромтауский"," KZ-AKT1","12000"
"44"," KZ156400","42370"," Shalkar"," Шалқар"," Шалкарский"," KZ-AKT1","61000"
"45"," KZ156800","13930"," Yrgyz"," Ырғыз"," Иргизский"," KZ-AKT1","41500"
"46"," KZ191000","71799"," Konaiev"," Қонаев"," Конаев"," KZ-ALM1","56"
"47"," KZ191800","52762"," Alatau"," Алатау"," Алатау"," KZ-ALM1","890"
"48"," KZ192600","31012"," Tekeli"," Текелі"," Текели"," KZ-ALM1","104"
"49"," KZ193600","28305"," Balkhash"," Балқаш"," Балхашский"," KZ-ALM1","37400"
"50"," KZ194000","285186"," Enbekshikazakh"," Еңбекшіқазақ"," Енбекшиказахский"," KZ-ALM1","8300"
"51"," KZ194200","169540"," Zhambyl"," Жамбыл"," Жамбылский"," KZ-ALM1","19300"
"52"," KZ194400","27358"," Kegen"," Кеген"," Кегенский"," KZ-ALM1","7103"
"53"," KZ195200","342059"," Karasay"," Қарасай"," Карасайский"," KZ-ALM1","2000"
"54"," KZ195800","28193"," Raiymbek"," Райымбек"," Райымбекский"," KZ-ALM1","7119"
"55"," KZ196200","248450"," Talgar"," Талғар"," Талгарский"," KZ-ALM1","3700"
"56"," KZ196400","51797"," Eskeldi"," Ескелді"," Ескельдинский"," KZ-ALM1","4300"
"57"," KZ196600","62454"," Uygur"," Ұйғыр"," Уйгурский"," KZ-ALM1","8700"
"58"," KZ196800","274530"," Ile"," Іле"," Илийский"," KZ-ALM1","7800"
"59"," KZ231000","414840"," Atyrau"," Атырау"," Атырау"," KZ-ATY1","458"
"60"," KZ233600","87121"," Zhylyoi"," Жылыой"," Жылыойский"," KZ-ATY1","29400"
"61"," KZ234000","32766"," Inder"," Индер"," Индерский"," KZ-ATY1","10900"
"62"," KZ234200","26362"," Isatay"," Исатай"," Исатайский"," KZ-ATY1","14700"
"63"," KZ234600","55906"," Kurmangazy"," Құрманғазы"," Курмангазинский"," KZ-ATY1","20900"
"64"," KZ234800","30833"," Kyzylkoga"," Қызылқоға"," Кзылкогинский"," KZ-ATY1","20600"
"65"," KZ235200","29689"," Makat"," Мақат"," Макатский"," KZ-ATY1","9100"
"66"," KZ235600","29194"," Makhambet"," Махамбет"," Махамбетский"," KZ-ATY1","9600"
"67"," KZ271000","363453"," Uralsk"," Орал"," Уральск"," KZ-ZAP1","700"
"68"," KZ273200","35521"," Akzhaik"," Ақжайық"," Акжаикский"," KZ-ZAP1","25700"
"69"," KZ273600","57966"," Burli"," Бөрлі"," Бурлинский"," KZ-ZAP1","5600"
"70"," KZ274000","21639"," Zhanakala"," Жаңақала"," Жангалинский"," KZ-ZAP1","20800"
"71"," KZ274200","14303"," Zhanybek"," Жәнібек"," Жанибекский"," KZ-ZAP1","8200"
"72"," KZ274400","61237"," Baiterek"," Бәйтерек"," Байтерек"," KZ-ZAP1","7400"
"73"," KZ274800","27077"," Kaztalovka"," Казталовка"," Казталовский"," KZ-ZAP1","18600"
"74"," KZ275000","13434"," Karatobe"," Қаратөбе"," Каратобеский"," KZ-ZAP1","10000"
"75"," KZ275400","14276"," Bokeyorda"," Бөкейордасы"," Бокейординский"," KZ-ZAP1","19200"
"76"," KZ275800","17156"," Syrym"," Сырым"," Сырымский"," KZ-ZAP1","11900"
"77"," KZ276000","16183"," Taskala"," Тасқала"," Таскалинский"," KZ-ZAP1","8100"
"78"," KZ276200","38935"," Terekti"," Теректі"," Теректинский"," KZ-ZAP1","8000"
"79"," KZ276600","12901"," Chingirlau"," Шыңғырлау"," Чингирлауский"," KZ-ZAP1","7200"
"80"," KZ311000","432367"," Taraz"," Тараз"," Тараз"," KZ-ZHA1","139"
"81"," KZ313600","106428"," Bayzak"," Байзақ"," Байзакский"," KZ-ZHA1","4500"
"82"," KZ314000","88152"," Zhambyl"," Жамбыл"," Жамбылский"," KZ-ZHA1","4300"
"83"," KZ314200","54221"," Zhualy"," Жуалы"," Жуалынский"," KZ-ZHA1","4200"
"84"," KZ314800","158312"," Korday"," Қордай"," Кордайский"," KZ-ZHA1","8900"
"85"," KZ315000","67407"," TurarRyskulov"," ТұрарРысқұлов"," ТурарРыскулов"," KZ-ZHA1","10500"
"86"," KZ315400","88615"," Merke"," Мерке"," Меркенский"," KZ-ZHA1","7100"
"87"," KZ315600","28370"," Moiynkum"," Мойынқұм"," Мойынкумский"," KZ-ZHA1","50400"
"88"," KZ316000","44065"," Sarysu"," Сарысу"," Сарысуский"," KZ-ZHA1","31300"
"89"," KZ316200","48742"," Talas"," Талас"," Таласский"," KZ-ZHA1","12200"
"90"," KZ316600","106132"," Shu"," Шу"," Шуский"," KZ-ZHA1","12000"
"91"," KZ331000","204920"," Taldykorgan"," Талдыкорган"," Талдықорған"," KZ-ZHT1","74"
"92"," KZ331800","31012"," Tekeli"," Текелі"," Текели"," KZ-ZHT1","104"
"93"," KZ333200","36333"," Aksu"," Ақсу"," Аксуский"," KZ-ZHT1","12600"
"94"," KZ333400","74351"," Alakol"," Алакөл"," Алакольский"," KZ-ZHT1","23700"
"95"," KZ333600","51797"," Eskeldi"," Ескелді"," Ескельдинский"," KZ-ZHT1","4300"
"96"," KZ334000","43228"," Kerbulak"," Кербұлақ"," Кербулакский"," KZ-ZHT1","11500"
"97"," KZ334200","41946"," Koksu"," Көксу"," Коксуский"," KZ-ZHT1","7100"
"98"," KZ334400","39762"," Karatal"," Қаратал"," Каратальский"," KZ-ZHT1","24200"
"99"," KZ334600","134351"," Panfilov"," Панфилов"," Панфиловский"," KZ-ZHT1","10600"
"100"," KZ334800","39276"," Sarkand"," Сарқант"," Сарканский"," KZ-ZHT1","24400"
"101"," KZ351000","521847"," Karaganda"," Қарағанды"," Караганда"," KZ-KAR1","498"
"102"," KZ351600","77407"," Balkhash"," Балқаш"," Балхаш"," KZ-KAR1","230"
"103"," KZ352100","11115"," Priozersk"," Приозер"," Приозерск"," KZ-KAR1","55"
